FID	IID	Ala	Arg	Asp	Glu	Gly	His	Ile	Leu	Lys	Phe	Pro	Ser	Thr	Tyr	Val
Amcor 89	Amcor 89	19.5	24.4	53.3	71.9	22.3	10.1	6.8	22.7	20.4	15.7	18.6	21.5	11.2	11.1	12.7
Zhongzuo 96-954	Zhongzuo 96-954	19.3	24.3	50.5	68	22.7	9.8	6.7	21	18.7	13.6	19.5	20.9	10.7	9.6	12.7
Maoyandou	Maoyandou	19	23.8	54.5	69.4	22.5	10.4	5.8	20.4	20.3	15.3	20.2	22.4	12.2	11.1	10.4
Kenwood	Kenwood	17	21.4	48.3	65	18	8.8	5.7	20.8	19.5	13.9	19.9	19.5	12.4	9.9	8
Zhongdou 27	Zhongdou 27	18.8	26.2	52.5	73.2	19.7	9.9	5.7	21.4	20.2	16.1	20	21.1	12.8	10.7	9.3
Tuyandou	Tuyandou	19.6	31	55.6	78.5	19.9	10.4	6.8	24.8	22.1	17	23.5	23.2	14	12	9.5
L84-307	L84-307	17.6	23	48.4	66.3	17.7	9	5.9	20.5	20.1	15	20.4	20.6	12.4	10.5	8.4
L81-4590	L81-4590	20	27.1	54.6	77.4	19.9	10.1	6.7	23.9	22.2	17.1	23.2	22.6	14	12.7	9.8
Sprite 87	Sprite 87	18.4	23.5	50.9	69.5	18.8	9	6	21.4	20	15.6	20.3	21	13	11.4	8.6
L78-3083	L78-3083	19.5	28.1	56.2	78.1	20.1	10.1	6.5	22.6	21.8	16.6	22.6	24.2	14.1	12.3	10
Zhongdou 28	Zhongdou 28	19.2	24.9	51.5	75.1	18.8	9.8	6.8	23.8	23.6	16.2	22.5	23.2	13.8	12.3	9.3
Lvcaodou	Lvcaodou	19.8	32.1	58.1	82.4	20.9	10.5	7.2	24.7	22.4	18.1	24.9	24	15	12.4	9.6
L82-1858	L82-1858	16.3	27.2	42.1	68	15.9	10.1	17.2	28.5	23.9	19.3	23	18.6	14.8	13	18.5
GR8836	GR8836	17.4	24.3	52.4	76.1	18.2	9.2	6.2	21.6	20	15.5	22.4	21.4	13.2	11.4	8.5
L74-01	L74-01	18.9	26.1	56.3	83.1	19.4	9.6	6.7	23.1	21.2	16.8	24.7	23.2	13.9	12.3	9.2
