FID	IID	Ala	Arg	Asp	Glu	Gly	His	Ile	Leu	Lys	Phe	Pro	Ser	Thr	Tyr	Val
Baipihuangdou	Baipihuangdou	15.6	28.4	44.2	70.9	15.9	10.1	14.6	23.4	23.5	18	29.4	18.5	16.7	12.1	12.9
PI54703	PI54703	18	30.7	48.5	78.5	17.1	10.8	17.2	27.7	25.3	20.2	26.9	19.9	18.1	13.9	15.7
Diliuhuangdou-2	Diliuhuangdou-2	16.8	30.8	47.6	75.3	17.2	10.7	15.7	24.5	24.4	19	26.3	19.4	17.9	12.4	13.5
Kefeng 53	Kefeng 53	17.7	33.5	48.4	76.1	16.2	10.2	15.6	24.9	24.2	19.4	27.1	19.5	17.3	12.9	13.5
Delsoy 	Delsoy 	17.4	25	42.5	65.4	15.4	9.8	15.7	24.8	23.3	18.1	25.2	17.9	16.4	13	13.8
Wandou 16	Wandou 16	17.8	33.6	45.2	71	15.9	10.3	15.9	25	23.4	18.9	24.8	18.1	16.5	12.5	13.8
L85-2029	L85-2029	15.7	23.1	41.7	67.7	16.2	8.8	15.8	26.1	21.1	16.4	27.8	15.8	15.1	11.4	13.5
Huaiyangchundou	Huaiyangchundou	19.3	31.5	50	83.5	18.8	10.3	18.5	31.6	24.3	19.8	29.8	20	18.2	13	16.3
Zheng 99048	Zheng 99048	20.2	33	51.1	86.7	18.8	10.6	19.8	33.2	25.1	21	29	20.2	17.8	14.4	16.8
Zhongdou 33	Zhongdou 33	22.8	41	55.2	86	18.6	11.6	17.6	29.5	24.7	19.9	30.4	20.6	18.6	12.9	16
Qingdou	Qingdou	18.6	28	48.1	78.8	17.4	9.8	18.1	29.9	23.7	19.5	28.1	18.9	17.6	12.7	15
Yudou 22	Yudou 22	17.6	33.6	45.7	67.6	16.5	10.6	16.7	28.7	24.5	19.7	23.3	18.4	16.4	12.4	15.9
Xiaomidou	Xiaomidou	19.6	27.1	48	80.8	17.9	10.2	18.1	30.3	23.7	19.3	26	19.5	17.4	12.8	15.9
L84-2235	L84-2235	19.7	28.7	49.4	84.6	18.6	10.6	18.5	31.9	24.8	20	30	20.3	18.4	13.7	15.6
Xiaoheidou	Xiaoheidou	19.8	29.9	50.6	86.6	18.6	10.5	18	30.1	24.6	20.3	29.4	20.6	17.8	13	16
Zheng 8516	Zheng 8516	20.9	35.2	53.3	88.2	19	10.9	18.6	32	25.3	20.7	29.4	21.2	19.1	13.7	16.2
Yuandou	Yuandou	16.4	30.2	43.5	69.6	15.9	10.4	17.9	28.6	24.7	20.1	23.9	18.6	14.3	12.8	18.8
Yudou 12	Yudou 12	22	33.2	53.4	90.7	19.5	11.2	20.2	35	25.9	22.1	31	21.8	19.3	14.6	17.9
Ji9-3l-2	Ji9-3l-2	19	27.8	47.7	82.4	17.4	10	18	29.5	23.6	18.8	30.9	19.6	17.2	13	15.9
Bailudou	Bailudou	19.4	26.4	46.7	79.2	17.9	10.3	18.8	32.1	23.6	18.7	31.4	19.3	17.2	14	16.7
Miyangxiaozihuang	Miyangxiaozihuang	20.7	33.7	51.6	88	19.1	11.3	18.9	32.6	26.2	20.9	31	21.2	18.5	14	16.7
Huaheihu	Huaheihu	21.7	32.8	52.5	89.5	19.8	11.4	20.6	34.2	25.6	21.5	34.1	21.3	18.8	14.6	18.3
Delsoy 4710	Delsoy 4710	17.7	25	43.4	70	16.2	9.5	16.3	27.5	22.3	17.3	25.6	17.9	15.9	11.7	14.6
L85-2308	L85-2308	16.4	27.6	43	68.8	16	10	14.9	23.9	23	18.5	27.2	17.8	16.1	12	14.3
Qisiwa	Qisiwa	18.4	32.8	51.3	80.3	18	11.4	16.7	27.7	26.1	21	31.2	20.4	18.6	13.4	15.7
Liushiribaidou	Liushiribaidou	19	33.7	48.5	78	18.2	10.8	17.8	28.4	25.6	21.3	30.6	19.6	17.7	13.9	16.1
Pixianzhanzhuangliuyuexian	Pixianzhanzhuangliuyuexian	17.5	32.1	47.6	76.5	17.5	10.8	16.4	26.2	25.1	20	28.3	18.7	17	12.7	15.3
Datianedan	Datianedan	17.3	33.2	46.3	74.4	16.5	10.3	16.2	25.5	23.6	19.2	27.8	18.6	16.1	12.1	15.3
Dongshan 69	Dongshan 69	16.3	26.6	43.6	66.5	15.7	9.8	15.2	24.4	23	18.1	23	17.4	16	11.9	13.9
Qingdou	Qingdou	18.8	31.1	46.6	74.6	17.5	10.4	18	28.6	24.6	21.4	28.4	19	17.1	13.9	16.9
Fendou 62	Fendou 62	18.6	29.9	47.4	75.4	17.2	10.8	18.1	28	24.7	20.9	29.1	19.2	16.8	13.9	16.7
L88-5492	L88-5492	16.6	26.7	46.8	81.6	16.9	9.5	15.7	23.2	22.8	17.7	24.6	19.9	17.3	11	14.6
Lv 96150	Lv 96150	19	35.1	55	89.7	18.7	11.4	18.6	28.9	26	21.2	27.9	20.7	19.4	13.6	16.7
Shang 951099	Shang 951099	19.3	30.4	49.4	85.1	17.2	10.3	18.3	28.3	23.8	20.4	29.3	20.2	17.9	13.3	17.8
Delsoy 4900	Delsoy 4900	17.2	28.4	47.2	81	16.2	9.9	16	24	22.7	18.1	28.4	19.2	17.3	11.8	15.1
Meng 9793-1	Meng 9793-1	19.2	31.4	52.5	89.3	17.9	10.6	18.5	28.9	24.8	20.4	26.3	21.5	18.7	13.1	17.4
Xiaohuangdou	Xiaohuangdou	18.6	28.3	49.2	82.3	17.1	10.2	17	26.7	24	19.2	29.4	20.7	18.2	12.5	16
Miyangniumaohuang	Miyangniumaohuang	17.8	27.2	47.9	79.8	16.4	10.2	15.3	25.6	23.8	18.5	26.5	21.1	18.3	12.3	14.5
Avery	Avery	17.4	26.6	45.5	77.9	15.7	9.5	15.6	25.9	22.6	18.2	25.4	19.6	17.4	12	14.8
Jidou17	Jidou17	16.6	25.8	45.1	75	15.2	9.3	15.4	23.8	22.2	18	26.2	19	16.6	11.5	14.5
Lvxuan 23	Lvxuan 23	19.3	31.9	50.6	88.2	17.9	10.5	18.2	28	24.3	20.4	30	20.9	18.3	13.5	17.9
Tianedan	Tianedan	19	28.5	49.6	83.1	16.8	10.2	16.8	25.9	24.8	20.1	30.1	20.6	18.6	12.3	15.9
Xiaheidou	Xiaheidou	18.8	32	51.1	88.8	17.1	10.5	16.8	27.3	25.2	21.4	31.6	21.3	18.5	12.6	15.6
Qing 6	Qing 6	17.3	27.6	46.3	80.7	16.3	9.7	15.5	25	22.7	18.1	24.2	19.6	17.2	11.9	15
Pixiandazihuacao	Pixiandazihuacao	17.5	27.3	46.4	76.7	15.8	9.8	15.1	24.1	23.8	18.9	26.3	19.7	18	11.9	14.2
Xiaohuangdou	Xiaohuangdou	16.9	26.8	41.8	69	16.1	9.7	17.8	29.8	23	19.4	20.8	17.2	15.6	12.4	15.3
Lvpihuangdou	Lvpihuangdou	17.9	31.3	47.9	80.7	17.8	11	18.8	32	25.4	20.6	24.1	19.1	17.1	14.1	16.5
Zhongnongshi-1	Zhongnongshi-1	16.1	28.1	42.4	68.7	15.9	9.7	16.4	28.9	22.8	18.1	22.6	16.8	16.1	12.1	14.4
PI 253666A	PI 253666A	18.2	36.1	50.3	83.6	18.3	11.6	18.6	31.9	26.2	21.2	27.3	19.7	18.3	13.7	16.2
Verde	Verde	15.9	25.4	41.6	61.7	15.9	10	16.4	26.6	23.9	17.9	24.6	17	15.5	12	14.7
Miyangbaidou	Miyangbaidou	17.3	32.3	47.5	78.9	18	10.5	18.5	31.1	25.4	20.8	24.2	18.9	17.5	13.5	16
Yuxuan 13	Yuxuan 13	17.4	33.8	47.8	80	17.8	11.2	18.3	30.7	25.2	20.9	26.2	18.9	17.6	13.5	16.2
Huanggandou	Huanggandou	16.7	31.8	45.7	73.9	16.9	10.7	17	29.7	23.6	19	22.1	18.2	17	12.8	15.3
Zhongdou 8	Zhongdou 8	17.3	28.5	44	72.3	16.9	10.1	18.2	31.6	24	19.8	20.8	18.6	16.6	13	16.9
Zheng 97196	Zheng 97196	15.9	28.3	41.4	68.5	15.8	9.4	16.9	28.3	22.4	18.9	23.9	16.9	15.7	11.8	14.8
Huipizhiheidou	Huipizhiheidou	16.5	31.6	42.8	68.8	15.8	10.5	17.4	28.9	24	19.6	21.1	18.2	14.4	12.3	18.5
Heheidou	Heheidou	16.7	27.9	42.7	64.4	16.2	9.9	17.3	28.8	23.5	19	21.3	17.1	15.4	12.2	16.5
Zhonghuang 39	Zhonghuang 39	16.5	30.2	47.8	75.4	16.4	10.5	16.3	24.8	24.5	19.9	29.6	19.5	16.7	12.3	13
Xiaobaidou-2	Xiaobaidou-2	17.9	32	47.1	72.6	16.7	10.5	16.9	25.7	25.3	20.3	28.1	18.9	16.5	11.9	13.8
Xizhoujiwohuang	Xizhoujiwohuang	17.1	28.7	45.3	68.5	16.4	10.6	15.7	24.5	23.7	18.7	27.2	18.9	16.9	12.2	13.4
Hualvdou	Hualvdou	17.2	30.1	45.9	67.1	15.7	9.9	15.6	24.4	23.9	18.3	29.1	18.3	16.1	12	12.9
Pixianhongmaoyou	Pixianhongmaoyou	17.9	33.3	48.4	75.8	17	10.9	17.6	27.8	25.2	20.6	29.3	20.2	17.4	13	14.9
